TRIG,particles,simulation_id,composition,energy,particles_normalized
TRIG3,5,142,Nitrogen,3.16E14,0.0026246719160104987
TRIG3,42,247,Photon,1E15,0.02690288713910761
TRIG1,74,91,Photon,1E15,0.047900262467191604
TRIG2,17,632,Photon,1E15,0.010498687664041995
TRIG2,3,983,Proton,1E14,0.0013123359580052493
TRIG3,3,41,Proton,3.16E14,0.0013123359580052493
TRIG2,9,271,Nitrogen,3.16E14,0.005249343832020997
TRIG1,1,64,Proton,1E15,0.0
TRIG3,1,38,Oxygen,1E15,0.0
TRIG1,4,807,Photon,3.16E14,0.001968503937007874
TRIG2,74,22,Carbon,3.16E15,0.047900262467191604
TRIG1,2,114,Proton,1E14,0.0006561679790026247
TRIG1,128,13,Nitrogen,1E15,0.08333333333333333
TRIG3,4,218,Carbon,3.16E14,0.001968503937007874
TRIG1,1,608,Iron,1E15,0.0
TRIG2,27,292,Photon,3.16E15,0.01706036745406824
TRIG1,11,568,Proton,1E15,0.006561679790026247
TRIG3,53,583,Photon,1E15,0.03412073490813648
TRIG2,14,739,Photon,1E15,0.00853018372703412
TRIG3,18,890,Proton,1E15,0.01115485564304462
TRIG1,3,414,Carbon,1E14,0.0013123359580052493
TRIG1,87,134,Photon,1E15,0.05643044619422572
TRIG3,37,664,Photon,1E15,0.023622047244094488
TRIG2,18,137,Oxygen,1E15,0.01115485564304462
TRIG2,37,150,Photon,1E15,0.023622047244094488
TRIG3,2,289,Carbon,1E14,0.0006561679790026247
TRIG3,14,953,Photon,1E15,0.00853018372703412
TRIG1,47,265,Proton,3.16E15,0.030183727034120734
TRIG3,3,46,Photon,3.16E14,0.0013123359580052493
TRIG2,31,310,Proton,3.16E15,0.01968503937007874
TRIG3,4,282,Photon,1E14,0.001968503937007874
TRIG1,21,3,Iron,3.16E15,0.013123359580052493
TRIG3,2,71,Nitrogen,3.16E14,0.0006561679790026247
TRIG3,3,787,Iron,1E15,0.0013123359580052493
TRIG3,7,251,Proton,3.16E14,0.003937007874015748
TRIG1,5,104,Nitrogen,3.16E15,0.0026246719160104987
TRIG1,24,278,Iron,3.16E15,0.015091863517060367
TRIG1,2,13,Proton,3.16E15,0.0006561679790026247
